Timestamp,X,Y,Z,qx,qy,qz,qw
1657911204.370137691,-0.393902,-4.36994,-0.0106947,-0.00053828,0.00401782,-0.342317,0.939576
1657911204.470087528,-0.395837,-4.36882,-0.0103844,-0.000501929,0.00376229,-0.342261,0.939597
1657911204.570040941,-0.394499,-4.36915,-0.00901604,-0.000484285,0.00397136,-0.342302,0.939581
1657911204.670021534,-0.38818,-4.37014,-0.0095191,-0.000333437,0.00401804,-0.342388,0.93955
1657911204.769992828,-0.391428,-4.37004,-0.00739855,-0.00029923,0.00378449,-0.342433,0.939535
1657911204.869966984,-0.390353,-4.36767,-0.00772512,-0.000236145,0.00411666,-0.342425,0.939536
1657911204.969944477,-0.388812,-4.36777,-0.00786179,-0.000280094,0.00384816,-0.342413,0.939542
1657911205.069817066,-0.391578,-4.36627,-0.00443947,-0.000264804,0.00395689,-0.342408,0.939543
1657911205.169743776,-0.391711,-4.36819,-0.00897092,-0.000429736,0.00402198,-0.342411,0.939542
1657911205.270413399,-0.393358,-4.36973,-0.00977015,-0.000489926,0.00387834,-0.342404,0.939545
1657911205.370306969,-0.392779,-4.37034,-0.00752527,-0.000552424,0.00397708,-0.34239,0.939549
1657911205.470526218,-0.393729,-4.36858,-0.0106592,-0.000437037,0.0041014,-0.342303,0.939581
1657911205.570211411,-0.389976,-4.3686,-0.00866753,-0.000347952,0.00387433,-0.342378,0.939554
1657911205.670158386,-0.390719,-4.37219,-0.00798815,-0.000414797,0.00372047,-0.342339,0.939569
1657911205.770112514,-0.39177,-4.37265,-0.0109831,-0.000530298,0.0039259,-0.342415,0.93954
1657911205.870059490,-0.389941,-4.37114,-0.00660783,-0.00045719,0.00390364,-0.342418,0.93954
1657911205.970039845,-0.391324,-4.3688,-0.0106192,-0.000442085,0.00390932,-0.342334,0.93957
1657911206.070007324,-0.389418,-4.37073,-0.0107412,-0.000503572,0.00373301,-0.342371,0.939557
1657911206.169980288,-0.390598,-4.37094,-0.010824,-0.000456525,0.00369692,-0.342375,0.939556
1657911206.269954681,-0.390844,-4.36904,-0.00801873,-0.000348851,0.0039448,-0.342428,0.939536
1657911206.369980335,-0.392865,-4.36936,-0.00807738,-0.000143441,0.0041195,-0.342366,0.939558
