timestamp,x,y,z,qx,qy,qz,qw
1683821395.231794227,-0.282405,2.6433,0,0,0,0.979745,-0.20025
1683821395.251739007,-0.28273,2.64302,0,0,0,0.979766,-0.200145
1683821395.275501611,-0.282947,2.64283,0,0,0,0.979759,-0.200181
1683821395.301622462,-0.282966,2.64293,0,0,0,0.979719,-0.200377
1683821395.321623788,-0.282775,2.64332,0,0,0,0.979666,-0.200635
1683821395.348976819,-0.282924,2.64288,0,0,0,0.979631,-0.200806
1683821395.381649780,-0.283143,2.64263,0,0,0,0.979662,-0.200656
1683821395.400865716,-0.283187,2.64266,0,0,0,0.979643,-0.200746
1683821395.421589741,-0.282849,2.64291,0,0,0,0.979655,-0.200687
1683821395.452080233,-0.283157,2.64284,0,0,0,0.979673,-0.2006
1683821395.471626351,-0.282833,2.64235,0,0,0,0.979725,-0.200346
1683821395.501633315,-0.283171,2.64273,0,0,0,0.979718,-0.200381
1683821395.531646551,-0.283001,2.64225,0,0,0,0.979735,-0.200299
1683821395.551769318,-0.282987,2.64267,0,0,0,0.979734,-0.200304
1683821395.571633105,-0.282627,2.64257,0,0,0,0.979749,-0.200228
1683821395.601594372,-0.282838,2.64297,0,0,0,0.979712,-0.200409
1683821395.621927511,-0.28286,2.64329,0,0,0,0.979684,-0.200549
1683821395.651738343,-0.282748,2.64326,0,0,0,0.9797,-0.200468
1683821395.681643642,-0.282456,2.64326,0,0,0,0.979707,-0.200433
1683821395.701640519,-0.282663,2.64329,0,0,0,0.979728,-0.200331
1683821395.732051169,-0.282437,2.64332,0,0,0,0.979721,-0.200367
1683821395.751317890,-0.282387,2.64325,0,0,0,0.979762,-0.200165
1683821395.771641237,-0.282692,2.64334,0,0,0,0.979755,-0.200199
1683821395.801623656,-0.282108,2.64366,0,0,0,0.979736,-0.200295
1683821395.824862796,-0.282184,2.64358,0,0,0,0.979729,-0.200329
1683821396.001689038,-0.281548,2.64368,0,0,0,0.979833,-0.199818
1683821396.031628768,-0.280809,2.64402,0,0,0,0.979837,-0.199798
1683821396.051630766,-0.280896,2.64449,0,0,0,0.979858,-0.199697
1683821396.081623489,-0.280922,2.64472,0,0,0,0.979888,-0.199547
1683821396.101638447,-0.280664,2.64479,0,0,0,0.979902,-0.199478
1683821396.131624963,-0.280337,2.64502,0,0,0,0.97992,-0.199392
1683821396.151324427,-0.280403,2.64537,0,0,0,0.979899,-0.199496
1683821396.171643485,-0.280497,2.64531,0,0,0,0.979919,-0.199395
1683821396.201673970,-0.280182,2.64549,0,0,0,0.979931,-0.199339
1683821396.231819048,-0.279779,2.64571,0,0,0,0.979948,-0.199253
1683821396.251907799,-0.27921,2.64591,0,0,0,0.979988,-0.199058
1683821396.281791657,-0.279116,2.64595,0,0,0,0.980018,-0.19891
1683821396.301674228,-0.279409,2.6459,0,0,0,0.980049,-0.198757
1683821396.321644001,-0.279414,2.64606,0,0,0,0.980029,-0.198853
1683821396.351653941,-0.279236,2.64631,0,0,0,0.980029,-0.198855
1683821396.382009839,-0.279515,2.64622,0,0,0,0.980014,-0.198928
1683821396.401714295,-0.279581,2.64619,0,0,0,0.980018,-0.198909
1683821396.431694186,-0.279554,2.64615,0,0,0,0.980026,-0.198871
1683821396.451679511,-0.279197,2.6462,0,0,0,0.980021,-0.198894
1683821396.471673444,-0.279525,2.64569,0,0,0,0.980033,-0.198835
1683821396.501663032,-0.279412,2.64542,0,0,0,0.980058,-0.19871
1683821396.531657772,-0.279731,2.64598,0,0,0,0.980018,-0.198908
1683821396.551391989,-0.279235,2.64611,0,0,0,0.980052,-0.198743
1683821396.581670701,-0.279706,2.64614,0,0,0,0.98002,-0.198898
1683821396.601661690,-0.279101,2.64596,0,0,0,0.980021,-0.198892
1683821396.631650318,-0.279279,2.64575,0,0,0,0.980063,-0.198689
1683821396.651658395,-0.279676,2.64646,0,0,0,0.979983,-0.199082
1683821396.681691728,-0.279513,2.64638,0,0,0,0.979969,-0.19915
1683821396.701674749,-0.279874,2.64584,0,0,0,0.98003,-0.198852
1683821396.731668657,-0.279799,2.64576,0,0,0,0.980019,-0.198903
1683821396.751682750,-0.279714,2.64609,0,0,0,0.979977,-0.199113
1683821396.781677746,-0.279445,2.64608,0,0,0,0.98,-0.198998
1683821396.801689567,-0.279612,2.64652,0,0,0,0.980017,-0.198915
